codigo, estado, sigla
11, rondonia, RO 
12, acre, AC 
13, amazonas, AM
14, roraima, RR 
15, para, PA 
16, amapa, AP 
17, tocantins, TO 
21, maranhão, MA
22, piaui, PI
23, ceara, CE
24, riograndedonorte, RN 
25, paraiba, PB 
26, pernambuco, PE 
27, alagoas, AL 
28, sergipe, SE
29, bahia, BA
31, minasgerais, MG
32, espiritosanto, ES
33, riodejaneiro, RJ
35, saopaulo, SP
41, parana, PR
42, santacatarina, SC
43, riograndedosul, RS
50, matogrossodosul, MS
51, matogrosso, MT
52, goias, GO
53, distritofederal, DF
